title,Ratings,Counts,Preference Ratio
"Shawshank Redemption, The (1994)",4.424188001918387,97999,17.51843378627415
Forrest Gump (1994),4.056584913437757,97040,17.105396574883823
Pulp Fiction (1994),4.173971387139363,92406,16.396166306944146
"Silence of the Lambs, The (1991)",4.15141241652351,87899,15.613476997493796
"Matrix, The (1999)",4.149695428470046,84545,15.041258085568181
Star Wars: Episode IV - A New Hope (1977),4.120454684348836,81815,14.556581214514214
Jurassic Park (1993),3.6650338125073576,76451,13.333882922267364
Schindler's List (1993),4.257501817775044,71516,12.896185413173646
Braveheart (1995),4.008480734851678,68803,12.265079272678388
Toy Story (1995),3.8866494325899312,68469,12.125437482664335
Fight Club (1999),4.230663235786717,65678,11.883972256071976
Star Wars: Episode V - The Empire Strikes Back (1980),4.133481206891313,65822,11.842462059600273
Star Wars: Episode VI - Return of the Jedi (1983),3.986042742680581,66023,11.77651133921201
Terminator 2: Judgment Day (1991),3.9415014472906096,64258,11.445739920184376
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),4.120455082276986,63505,11.439119183057848
"Usual Suspects, The (1995)",4.291958829205532,62180,11.330048051747726
"Lord of the Rings: The Fellowship of the Ring, The (2001)",4.0979428922321155,61883,11.147662025522026
"Godfather, The (1972)",4.332892749244713,60904,11.140607596417418
American Beauty (1999),4.121506083525156,60820,10.982684907319271
Apollo 13 (1995),3.8843006903605217,58665,10.454611743290341
"Fugitive, The (1993)",3.979976219606762,58031,10.411670944572423
"Lord of the Rings: The Return of the King, The (2003)",4.102853009864408,57378,10.383976350840786
Back to the Future (1985),3.929998956376539,57492,10.285945081036205
"Lord of the Rings: The Two Towers, The (2002)",4.074705446592352,56696,10.248734881722406
Independence Day (a.k.a. ID4) (1996),3.3971653463163074,58949,10.171994932345395
Seven (a.k.a. Se7en) (1995),4.071687183200579,55240,9.998785510558337
Fargo (1996),4.106229357798165,54500,9.896261769850776
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),3.8901925391095067,54846,9.80839150250636
Saving Private Ryan (1998),4.05053029041035,54027,9.777885550385882
"Sixth Sense, The (1999)",4.015812129328487,52270,9.455150269846373
Batman (1989),3.386488025271819,54448,9.39839984263182
Dances with Wolves (1990),3.740337721919155,51877,9.201074563079375
Aladdin (1992),3.6916703640116513,51839,9.161538985160922
True Lies (1994),3.501710443535703,50864,8.86647236448815
Gladiator (2000),3.9563350182879216,48666,8.801122811786723
"Lion King, The (1994)",3.811425853503858,47305,8.470944288971888
Shrek (2001),3.7718788707128517,46826,8.362520597454376
"Dark Knight, The (2008)",4.173755615654545,44741,8.28057237674873
Speed (1994),3.4866057019903174,46475,8.108938316405828
Memento (2000),4.153844395162213,43739,8.096443633882503
"Princess Bride, The (1987)",4.124807593637763,42878,7.9301214397161015
Good Will Hunting (1997),4.076387102808109,42769,7.878665122227556
One Flew Over the Cuckoo's Nest (1975),4.222920272160452,42181,7.878110109017097
Mission: Impossible (1996),3.40252751642109,45064,7.8115767204303905
Men in Black (a.k.a. MIB) (1997),3.578533203874726,44287,7.798866839408165
Titanic (1997),3.4057092459865586,44787,7.766576413105607
Inception (2010),4.1629897528631705,41475,7.717188344573382
Indiana Jones and the Last Crusade (1989),3.9796636776633445,42043,7.689340230566879
"Terminator, The (1984)",3.891844559094997,42254,7.665598831573229
Ace Ventura: Pet Detective (1994),2.989431678652868,45608,7.623531634640204
Monty Python and the Holy Grail (1975),4.14835070718935,40866,7.603553852041005
Beauty and the Beast (1991),3.679634433962264,42400,7.546276487059984
Groundhog Day (1993),3.8854931922813205,40836,7.419854758727355
Die Hard (1988),3.9300094330255186,40284,7.356116519713869
"Godfather: Part II, The (1974)",4.2630353697749195,38875,7.342485338690594
Blade Runner (1982),4.116097462031895,39441,7.339019641516893
Alien (1979),4.05020110992312,39282,7.267176827310812
E.T. the Extra-Terrestrial (1982),3.7445323348541955,40328,7.237590663758218
Die Hard: With a Vengeance (1995),3.5077587042963825,41244,7.232679594360367
Pirates of the Caribbean: The Curse of the Black Pearl (2003),3.800360437566164,39674,7.164171427967423
Reservoir Dogs (1992),4.089496664970132,37331,6.961697667324833
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.1172545537708185,37167,6.95263434423722
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),4.087593140477756,36504,6.819599273230603
"Rock, The (1996)",3.687407739350485,37936,6.791516790161296
Goodfellas (1990),4.177603383981745,35934,6.783705998276996
"Monsters, Inc. (2001)",3.853349320974348,37112,6.763966905570209
Finding Nemo (2003),3.8451756756756756,37000,6.739344417240629
Pretty Woman (1990),3.4320460211926034,38504,6.714726044842918
Mrs. Doubtfire (1993),3.392682673318782,38484,6.684576501667998
Twister (1996),3.2206947390202267,38662,6.5980303386128645
"Mask, The (1994)",3.1814000361766452,38699,6.577632259708786
"Truman Show, The (1998)",3.845526988005331,36016,6.572047175258403
Eternal Sunshine of the Spotless Mind (2004),4.073479922427561,35064,6.564835902540979
"Fifth Element, The (1997)",3.7548319501502663,36269,6.553502736109077
Kill Bill: Vol. 1 (2003),3.8552959982052215,35659,6.517901606688783
American History X (1998),4.1408824391674,34110,6.4482025553275
Aliens (1986),3.9946633113502257,34572,6.42751816368868
Stargate (1994),3.370404908638772,36996,6.416093470436926
Babe (1995),3.613834498509874,35903,6.3953907114089255
Ghostbusters (a.k.a. Ghost Busters) (1984),3.748139659904366,35343,6.391294997966529
X-Men (2000),3.5641687482653346,36030,6.383269718682415
Batman Forever (1995),2.9020622558025204,38647,6.378990382402859
"Beautiful Mind, A (2001)",3.9622524752475248,33936,6.297212095675578
Dumb & Dumber (Dumb and Dumber) (1994),2.9560056050551253,37823,6.275346387043301
Star Wars: Episode I - The Phantom Menace (1999),3.086352510826004,37179,6.25425949815421
"Green Mile, The (1999)",4.025558237779119,33140,6.204696416463628
Taxi Driver (1976),4.086422381024783,32885,6.202632556635648
Clear and Present Danger (1994),3.6675977653631286,34547,6.201045994582099
Being John Malkovich (1999),3.931551362683438,33390,6.183391060542249
